ARPSPOOFER; 2019-05-10 00:25:29; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:25:29; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:02; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:27:02; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:27:02; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:27:02; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:27:02; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:27:02; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:02; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:02; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:02; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:02; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:02; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:03; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:03; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:03; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:03; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:03; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:03; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:28; INFO; Initializing ARPspoofer...
